brand,opening,product_link,routine,closing,banned,viewpoint,must_include,avoid,style_note
프리메라,"출근 전, 실내 환경, 반복되는 일상 루틴처럼 매일 겪는 피부 상황에서 문장을 시작한다.","제품은 루틴을 안정시키는 요소로 자연스럽게 연결하며, 해결책처럼 과장하지 않는다.","아침/저녁 기준의 단순한 단계 흐름을 설명하며, 루틴을 늘리기보다 유지하는 방향을 강조한다.","관리 부담 없이 다시 이어갈 수 있다는 점을 중심으로 마무리한다.","즉각적 효과, 피부 변화 보장, 혁신적 결과","프리메라는 실용성과 지속성을 중시하는 브랜드이다.","사용감, 루틴 내 위치, 지속 가능성","과장된 감정 표현, 강한 단정","담담하고 설명적인 문체를 유지한다."
프리메라,"계절 변화나 실내외 환경 차이로 인한 피부 컨디션 흔들림에서 문장을 시작한다.","제품은 피부 컨디션을 정돈하는 보조 역할로 연결한다.","3~4단계 이내의 현실적인 루틴 흐름을 설명한다.","과하지 않은 관리로 일상에 자연스럽게 스며드는 방향으로 마무리한다.","드라마틱, 극적인 변화","프리메라는 ‘무리하지 않는 관리’를 전제로 한다.","가벼운 사용감, 반복 사용 가능성","즉각적 만족 강조","차분하고 현실적인 어조를 유지한다."
프리메라,"피부가 예민해지는 순간이나 관리 텀이 길어졌을 때의 상황에서 시작한다.","제품은 다시 시작하기 쉬운 선택지로 연결한다.","복잡하지 않은 사용 순서와 부담 없는 루틴을 설명한다.","다시 시작하기 어렵지 않다는 메시지로 마무리한다.","자극, 강력한 효과","프리메라는 부담 없는 관리 경험을 제공한다.","피부 부담 최소화, 지속 사용","과한 기능 나열","설명형 문장을 우선한다."
라네즈,"피부 수분 부족이나 컨디션 저하를 감지하는 시점에서 문장을 시작한다.","제품은 수분 공급 메커니즘의 일부로 기능적으로 연결한다.","피부 표면과 속 수분 차이를 기준으로 루틴을 설명한다.","수분 밸런스가 정돈된 상태를 정리하며 마무리한다.","감성 힐링, 철학적 표현","라네즈는 수분을 관리 가능한 상태로 설명한다.","수분감, 흡수, 지속력","감정적 서사","과학적이되 과하지 않은 설명 톤을 유지한다."
라네즈,"계절·환경 변화로 인한 피부 수분 변화에서 문장을 시작한다.","제품은 피부 반응에 대응하는 수분 솔루션으로 연결한다.","아침/저녁 또는 계절별 수분 루틴을 설명한다.","피부 컨디션 안정화로 마무리한다.","자연주의, 감성 위로","라네즈는 기능 중심 브랜드이다.","수분 유지, 흡수감","막연한 감정 표현","명확하고 논리적인 문장을 사용한다."
라네즈,"세안 후 피부 상태나 메이크업 전 피부 준비 과정에서 시작한다.","제품은 다음 단계의 효율을 높이는 요소로 연결한다.","단계 간 연결과 흡수 타이밍을 설명한다.","수분 준비가 끝난 상태를 정리하며 마무리한다.","과장된 결과 약속","라네즈는 피부 반응을 설명한다.","흡수 속도, 피부 반응","추상적 비유","기능 설명 중심으로 서술한다."
설화수,"피부 균형과 흐름을 바라보는 관점에서 문장을 시작한다.","제품은 관리 흐름 속 한 단계로 조용히 연결한다.","단계 수보다 순서와 의미를 강조한다.","시간의 누적과 관리의 지속을 암시하며 마무리한다.","즉각적 변화, 강한 단정","설화수는 시간과 균형을 중시한다.","균형, 정돈, 흐름","직설적 표현","여백 있는 문장을 사용한다."
설화수,"피부 컨디션의 미묘한 변화에서 출발한다.","제품은 관리 리듬을 유지하는 요소로 연결한다.","의식처럼 이어지는 루틴의 흐름을 설명한다.","차분하게 정돈되는 상태로 마무리한다.","자극적 어휘","설화수는 누적 관리의 브랜드이다.","관리 흐름, 균형 회복","과도한 기능 강조","완곡한 표현을 유지한다."
설화수,"시간이 쌓이면서 달라지는 피부 상태를 전제로 시작한다.","제품은 흐름을 끊지 않는 선택지로 연결한다.","루틴의 순서와 의미를 설명한다.","관리의 여운을 남기며 마무리한다.","즉효성 강조","설화수는 속도보다 축적을 중시한다.","시간, 균형","직접적인 결과 언급","정제된 문체를 유지한다."
이니스프리,"외부 환경 변화나 일상 속 피부 피로 상황에서 문장을 시작한다.","제품은 자연스러운 피부 회복을 돕는 요소로 연결한다.","부담 없는 데일리 루틴 중심으로 사용 흐름을 설명한다.","일상 속에서 편하게 이어갈 수 있다는 메시지로 마무리한다.","극적인 효과, 즉각적 변화","이니스프리는 일상 친화적인 브랜드이다.","데일리 사용, 가벼운 관리","과도한 전문 용어","친근하고 부드러운 톤을 유지한다."
이니스프리,"피부가 지치기 쉬운 계절이나 생활 패턴을 전제로 시작한다.","제품은 루틴의 리듬을 회복하는 선택지로 연결한다.","아침/저녁 구분이 명확한 루틴을 설명한다.","관리 부담 없이 지속 가능함을 강조하며 마무리한다.","강한 단정, 자극적 표현","이니스프리는 접근성이 핵심이다.","편안함, 지속성","권위적인 어조","부담 없는 말투를 사용한다."
이니스프리,"피부 컨디션이 일정하지 않은 상황에서 출발한다.","제품은 피부를 무리 없이 받쳐주는 역할로 연결한다.","복잡하지 않은 순서와 사용감을 설명한다.","자연스럽게 루틴에 스며드는 흐름으로 마무리한다.","과장된 기능 강조","이니스프리는 일상 관리 중심 브랜드이다.","가벼운 사용감, 반복 사용","과한 효과 약속","일상 대화에 가까운 문체를 유지한다."
헤라,"중요한 약속/외출/모임처럼 ‘결과가 티 나는 순간’을 전제로 문장을 시작한다.","제품은 ‘분위기/인상’을 정돈하는 선택지로 연결하며, 기능 나열보다 사용 장면을 우선한다.","아침 준비/메이크업 전후 흐름을 기준으로 단계 간 연결을 설명한다.","마무리는 ‘가볍게 정돈된 인상’과 ‘꾸준히 쓰기 쉬움’을 함께 둔다.","귀엽다, 힐링, 무해, 자연주의, 극찬/과장(대박, 미쳤다)","헤라는 도시적이고 선명한 인상을 만드는 브랜드이다.","장면(외출/모임), 마무리감, 지속력","장황한 성분 설명, 과한 감성 비유","문장은 짧고 단정하게, 리듬감 있게 끊는다."
헤라,"피부 컨디션이 애매한 날에도 ‘티 나게’ 정돈하고 싶은 상황에서 시작한다.","제품은 ‘정돈/보정/완성도’ 관점으로 자연스럽게 연결한다.","‘얇게-겹치기-마무리’ 같은 손동작/사용 흐름을 넣어 루틴을 설명한다.","마무리는 ‘과하지 않게 완성’ + ‘다음 날도 같은 루틴 가능’으로 정리한다.","완전 무결, 100% 보장, 즉시 개선","헤라는 과하지 않은 자신감을 주는 톤을 쓴다.","완성도, 정돈감, 사용 흐름","설명체 과다, 교과서식 문장","형용사는 줄이고 명사/동사 중심으로 쓴다."
헤라,"하루 종일 컨디션이 무너지는 환경(열, 건조, 마스크)에서 시작한다.","제품은 ‘무너짐을 덜어주는’ 안정 장치로 연결한다.","아침/저녁 구분보다 ‘낮 동안 유지되는’ 흐름을 중심으로 루틴을 설명한다.","마무리는 ‘무너짐 없이 버티는 느낌’ + ‘부담 없는 반복’으로 닫는다.","따뜻한 위로, 감성 문장 과다","헤라는 도시 생활의 변수를 전제로 설계된 느낌이다.","유지력/지속력, 마무리감","감정 호소(위로/힐링)","톤은 차분하지만 날카롭게, 군더더기 없이 쓴다."
